StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,age,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11,FL_12_DO_positive,FL_12_DO_negative,FL_12_DO_control
02/02/2022 11:17,02/02/2022 11:17,1,193.1.100.60,100,126,1,02/02/2022 11:17,R_FK38,,,,,52.66690063,-8.62739563,preview,EN,1,18,test,7,7,7,7,7,7,7,7,7,7,1,,
02/02/2022 11:21,02/02/2022 11:21,1,193.1.100.60,100,20,1,02/02/2022 11:21,R_MV94,,,,,52.66690063,-8.62739563,preview,EN,2,,,,,,,,,,,,,,,
02/02/2022 11:21,02/02/2022 11:21,1,193.1.100.60,100,10,1,02/02/2022 11:21,R_OT20,,,,,52.66690063,-8.62739563,preview,EN,1,27,tes,1,7,7,7,3,4,2,3,3,3,,,1
09/02/2022 08:07,09/02/2022 08:07,1,193.1.100.60,100,230,1,09/02/2022 08:07,R_VA79,,,,,52.66690063,-8.62739563,preview,EN,1,34,test,1,1,7,2,4,6,,7,5,2,1,,
09/02/2022 08:07,09/02/2022 08:07,1,193.1.100.60,100,40,1,09/02/2022 08:07,R_PW73,,,,,52.66690063,-8.62739563,preview,EN,1,50,tes,1,4,1,,4,1,5,4,2,5,,1,
09/02/2022 08:07,09/02/2022 08:07,1,193.1.100.60,100,15,1,09/02/2022 08:07,R_PQ62,,,,,52.66690063,-8.62739563,preview,EN,1,50,test,6,5,1,7,2,1,7,2,6,4,,,1
09/02/2022 08:08,09/02/2022 08:08,1,193.1.100.60,100,90,1,09/02/2022 08:08,R_SQ82,,,,,52.66690063,-8.62739563,preview,EN,1,21,test,2,4,6,6,3,1,1,4,2,6,1,,
09/02/2022 08:08,09/02/2022 08:08,0,193.1.100.60,100,212,1,09/02/2022 08:08,R_EG66,,,,,52.66690063,-8.62739563,anonymous,EN,1,49,female,1,3,7,1,7,5,3,6,2,1,,,1
09/02/2022 08:09,09/02/2022 08:09,0,193.1.100.60,100,72,1,09/02/2022 08:09,R_WU93,,,,,52.66690063,-8.62739563,anonymous,EN,1,18,male,4,6,2,5,7,6,3,3,7,7,,1,
09/02/2022 08:09,09/02/2022 08:09,0,193.1.100.60,100,278,1,09/02/2022 08:09,R_UC32,,,,,52.66690063,-8.62739563,anonymous,EN,1,40,male,1,4,5,3,6,6,7,6,6,7,1,,
09/02/2022 08:10,09/02/2022 08:10,0,193.1.100.60,100,258,1,09/02/2022 08:10,R_OB59,,,,,52.66690063,-8.62739563,anonymous,EN,1,20,Male,2,4,7,2,3,4,3,1,7,7,,,1
09/02/2022 08:10,09/02/2022 08:10,0,193.1.100.60,100,146,1,09/02/2022 08:10,R_LT39,,,,,52.66690063,-8.62739563,anonymous,EN,2,,,,,,,,,,,,,,,
09/02/2022 08:11,09/02/2022 08:11,0,193.1.100.60,100,259,1,09/02/2022 08:11,R_GG95,,,,,52.66690063,-8.62739563,anonymous,EN,1,41,FEmale,7,2,4,5,,,2,7,2,6,,,1
02/02/2022 11:17,02/02/2022 11:17,0,193.1.100.60,100,118,1,02/02/2022 11:17,R_SM61,,,,,52.66690063,-8.62739563,anonymous,EN,1,26,non-bianary,3,4,4,6,4,6,2,3,6,2,1,,
02/02/2022 11:21,02/02/2022 11:21,0,193.1.100.60,100,284,1,02/02/2022 11:21,R_FM41,,,,,52.66690063,-8.62739563,anonymous,EN,1,31,female,2,3,6,1,6,5,5,7,5,6,,1,
02/02/2022 11:21,02/02/2022 11:21,0,193.1.100.60,100,143,1,02/02/2022 11:21,R_UQ47,,,,,52.66690063,-8.62739563,anonymous,EN,1,40,female,3,6,1,5,1,5,1,3,1,3,,,1
09/02/2022 08:07,09/02/2022 08:07,0,193.1.100.60,100,186,1,09/02/2022 08:07,R_IE63,,,,,52.66690063,-8.62739563,anonymous,EN,1,40,femae,2,7,7,7,1,2,3,5,2,7,1,,
09/02/2022 08:07,09/02/2022 08:07,0,193.1.100.60,100,89,1,09/02/2022 08:07,R_KZ48,,,,,52.66690063,-8.62739563,anonymous,EN,1,33,Male,4,2,5,5,4,2,5,2,4,5,,1,
09/02/2022 08:07,09/02/2022 08:07,0,193.1.100.60,100,106,1,09/02/2022 08:07,R_OD83,,,,,52.66690063,-8.62739563,anonymous,EN,1,30,male,2,5,1,5,1,2,6,5,1,3,,,1
09/02/2022 08:08,09/02/2022 08:08,0,193.1.100.60,100,276,1,09/02/2022 08:08,R_SN32,,,,,52.66690063,-8.62739563,anonymous,EN,1,42,female,5,2,4,2,2,6,7,3,2,2,1,,
09/02/2022 08:08,09/02/2022 08:08,0,193.1.100.60,100,165,1,09/02/2022 08:08,R_WY52,,,,,52.66690063,-8.62739563,anonymous,EN,1,41,female,1,4,7,5,5,7,7,3,2,3,,,1
09/02/2022 08:09,09/02/2022 08:09,0,193.1.100.60,100,230,1,09/02/2022 08:09,R_CV11,,,,,52.66690063,-8.62739563,anonymous,EN,1,43,non-bianary,4,2,7,4,6,3,5,7,3,4,,1,
09/02/2022 08:09,09/02/2022 08:09,0,193.1.100.60,100,182,1,09/02/2022 08:09,R_FX60,,,,,52.66690063,-8.62739563,anonymous,EN,1,38,male,4,2,7,6,7,2,5,5,2,5,,,1
09/02/2022 08:10,09/02/2022 08:10,0,193.1.100.60,100,297,1,09/02/2022 08:10,R_MM20,,,,,52.66690063,-8.62739563,anonymous,EN,1,21,female,2,,6,1,5,6,3,2,4,2,1,,
09/02/2022 08:10,09/02/2022 08:10,0,193.1.100.60,100,153,1,09/02/2022 08:10,R_EF71,,,,,52.66690063,-8.62739563,anonymous,EN,1,37,female,1,5,6,2,5,4,7,2,3,5,,,1
09/02/2022 08:11,09/02/2022 08:11,0,193.1.100.60,100,291,1,09/02/2022 08:11,R_EA53,,,,,52.66690063,-8.62739563,anonymous,EN,1,24,female,4,1,3,4,2,2,2,6,1,7,,1,
02/02/2022 11:17,02/02/2022 11:17,0,193.1.100.60,100,299,1,02/02/2022 11:17,R_LH63,,,,,52.66690063,-8.62739563,anonymous,EN,1,20,female,5,5,5,4,4,2,1,1,3,2,1,,
02/02/2022 11:21,02/02/2022 11:21,0,193.1.100.60,100,133,1,02/02/2022 11:21,R_QF63,,,,,52.66690063,-8.62739563,anonymous,EN,1,36,male,2,6,4,2,1,3,4,5,1,1,,,1
02/02/2022 11:21,02/02/2022 11:21,0,193.1.100.60,100,20,1,02/02/2022 11:21,R_KG34,,,,,52.66690063,-8.62739563,anonymous,EN,1,29,male,1,5,6,2,6,2,3,6,2,4,,1,
09/02/2022 08:07,09/02/2022 08:07,0,193.1.100.60,100,287,1,09/02/2022 08:07,R_PM55,,,,,52.66690063,-8.62739563,anonymous,EN,1,35,female,7,5,1,1,5,5,5,7,4,7,1,,
09/02/2022 08:07,09/02/2022 08:07,0,193.1.100.60,100,137,1,09/02/2022 08:07,R_WG92,,,,,52.66690063,-8.62739563,anonymous,EN,1,37,female,1,2,2,2,3,7,3,1,3,4,,,1
09/02/2022 08:07,09/02/2022 08:07,0,193.1.100.60,100,149,1,09/02/2022 08:07,R_UR46,,,,,52.66690063,-8.62739563,anonymous,EN,1,21,female,1,3,3,4,1,6,5,3,7,5,1,,
09/02/2022 08:08,09/02/2022 08:08,0,193.1.100.60,100,258,1,09/02/2022 08:08,R_FV75,,,,,52.66690063,-8.62739563,anonymous,EN,1,21,male,5,5,2,1,7,1,2,,6,1,,1,
09/02/2022 08:08,09/02/2022 08:08,0,193.1.100.60,100,35,1,09/02/2022 08:08,R_JK79,,,,,52.66690063,-8.62739563,anonymous,EN,1,49,male,1,1,1,1,1,1,1,1,1,1,1,,
